borough;category;name;address;email
Bronowice;Urząd;Regionalny Ośrodek Polityki Społecznej w Krakowie;Piastowska 32, 30-070 Kraków;amierzwa@rops.krakow.pl
Bronowice;Centrum szkoleniowe;Global Sport Academy Kraków;Samuela Bogumiła Lindego 1c, 30-148 Kraków;kontakt@gsacademy.pl
Bronowice;Siłownia;XXS GYM & CrossFit Lea;Juliusza Lea 116, 30-133 Kraków;info@crossfitlea.com
Bronowice;muzea;Rydlówka;Włodzimierza Tetmajera 28, 31-352 Kraków;info@muzeumkrakowa.pl
Bronowice;Kort tenisowy;Korty Tenisowe AMS Magic Sports;Zarzecze 124A, 30-134 Kraków;
Bronowice;Klub;Bronowianka. Klub sportowy;Zarzecze 124, 33-332 Kraków;sekretariat@bronowianka.pl
Bronowice;Trening grupowy;TopSet - Tenis stołowy dla dzieci i dorosłych Kraków;Zarzecze 124A, 30-134 Kraków;kontakt@topset.com.pl
Bronowice;Trening grupowy;PikiTiki - Centrum Sportu i Rekreacji;Samuela Bogumiła Lindego 1, 30-148 Kraków;kontakt@pikitiki.pl
Bronowice;Instruktor pływania;Luka Sport Nauka Pływania, Sport i Rekreacja;Zarzecze 124, 33-332 Kraków;biuro@lukasport.pl
Bronowice;Klub siatkarski;Akademia Siatkówki Bronowianka;Zarzecze 124A, 30-134 Kraków;sekretariat@bronowianka.pl
Bronowice;Gym;Street gym/workout;Zarzecze 45, 33-332 Kraków;
Bronowice;atrakcje;My Fitness Place;Sołtysa Dytmara 3, 30-126 Kraków;iod@benefitsystems.pl
Bronowice;Siłownia;My Fitness Place;Samuela Bogumiła Lindego 1c, 30-148 Kraków;iod@benefitsystems.pl
Bronowice;Urząd;Małopolskie Centrum Przedsiębiorczości (MCP);Armii Krajowej 16, 30-150 Kraków;sekretariat@mcp.malopolska.pl
Bronowice;Centrum medyczne;Klinika Ornafel&Turcza;Kazimierza Wierzyńskiego 33/LU2, 31-198 Kraków;
Bronowice;Szpital;Jurajskie Centrum Medyczne;Kazimierza Wierzyńskiego 9, 30-198 Kraków;jcm@jcm.krakow.pl
Grzegórzki;Urząd miasta;Urząd Miasta Krakowa - Wydział Architektury i Urbanistyki;Mogilska 41, 31-545 Kraków;webmast@cyf-kr.edu.pl
Grzegórzki;Urząd miasta;Magistrat Centrum Administracyjne;31-542 Kraków;
Grzegórzki;Urząd;Małopolski Urząd Wojewódzki. Wydział Spraw Cudzoziemców.;Przy Rondzie 6, 31-547 Kraków;info.opt@muw.pl
Grzegórzki;Urząd;Małopolski Urząd Wojewódzki Punkt Relokacji i Informacji;Generała Józefa Chłopickiego 4, 31-516 Kraków;info.opt@muw.pl
Grzegórzki;Urząd miasta;Wydział Spraw Administracyjnych Urzędu Miasta;aleja Powstania Warszawskiego 10, 31-541 Kraków;webmast@cyf-kr.edu.pl
Grzegórzki;Urząd miasta;Urząd Miasta Krakowa - Wydział Skarbu Miasta;Jana Kasprowicza 29, 31-523 Kraków;fransulat@krakow.pl
Grzegórzki;Wydział urbanistyczny;Urząd Miasta Krakowa - Wydział Geodezji;Grunwaldzka 8, 31-526 Kraków;webmast@cyf-kr.edu.pl
Grzegórzki;Sąd miejski;Sąd Rejonowy dla Krakowa-Śródmieścia w Krakowie;Przy Rondzie 7, 31-547 Kraków;boi@krakow-sr.sr.gov.pl
Grzegórzki;Urząd miasta;Urząd Miasta Krakowa, Wydział Ewidencji Pojazdów i Kierowców;aleja Powstania Warszawskiego 10, 31-542 Kraków;webmast@cyf-kr.edu.pl
Grzegórzki;Siedziba władz regionu;Rejonowy Zarząd Infrastruktury W Krakowie;Mogilska 85, 31-545 Kraków;
Grzegórzki;Urząd miasta;Urząd Miasta Krakowa - Wydział Planowania Przestrzennego;Mogilska 41, 31-545 Kraków;
Grzegórzki;Sąd miejski;Sąd Rejonowy dla Krakowa-Krowodrzy w Krakowie;Przy Rondzie 7, 31-547 Kraków;sad@krakow-krowodrza.sr.gov.pl
Grzegórzki;Stowarzyszenie lub organizacja;Generalna Dyrekcja Dróg Krajowych i Autostrad Oddział w Krakowie;Mogilska 25, 31-542 Kraków;piotr.zientarski@gov.pl
Grzegórzki;Sklep odzieżowy;ANSWEAR;Aleja Pokoju 18, 31-564 Kraków;wojciech.tomaszewski@answear.com
Grzegórzki;atrakcje;Unitarg - plac targowy k/ Hali targowej;Grzegórzecka 3/11, 31-532 Kraków;obr_krk@stat.gov.pl
Grzegórzki;Centrum gimnastyczne;HI FIVE GYM - gimnastyka dla dzieci, półkolonie Kraków;Grochowska 20, 31-521 Kraków;kontakt@hifivegym.pl
Grzegórzki;Centrum rekreacyjno-sportowe;Krakowski Szkolny Ośrodek Sportowy im. Szarych Szeregów;aleja Powstania Warszawskiego 6, 31-549 Kraków;kurdwanow@ksos.pl
Grzegórzki;Trener osobisty;Functional Gym Studio Treningu Personalnego Fizjoterapia Masaż;świętego Łazarza 17, 31-530 Kraków;kontakt@functionalgym.pl
Grzegórzki;Siłownia;My Fitness Place Mogilska 70;Mogilska 70, 31-545 Kraków;iod@benefitsystems.pl
Grzegórzki;muzea;Celestat;Lubicz 16, 31-504 Kraków;info@muzeumkrakowa.pl
Grzegórzki;muzea;Muzeum Fabryka Wódki;Fabryczna 13, 31-553 Kraków;muzeum@fabrykawodki.pl
Grzegórzki;muzea;Ślady II Wojny Światowej;Grzegórzecka 2, 31-532 Kraków;
Grzegórzki;muzea;Muzeum Zabawek w Krakowie;Mikołaja Kopernika 19A, 31-501 Kraków;witryna@muzeumzabawekrakow.pl
Grzegórzki;Siłownia;Fitness Platinium Cystersów 26;Cystersów 26, 31-553 Kraków;iod@fitnessplatinium.pl
Grzegórzki;Siłownia;My Fitness Place;Podgórska 34, 31-536 Kraków;iod@benefitsystems.pl
Grzegórzki;Policja;Komenda Wojewódzka Policji w Krakowie;Mogilska 109, 31-571 Kraków;wrdkwp@malopolska.policja.gov.pl
Grzegórzki;Centrum handlowe;Galeria Kazimierz;Podgórska 34, 31-536 Kraków;marketing@galeriakazimierz.pl
Grzegórzki;Medical clinic;Diamond Clinic;Stefana Rogozińskiego 6/U3, 31-559 Kraków;biuro@diamondclinic.eu
Grzegórzki;Lekarz;Med-Med;Grzegórzecka 67C, 31-559 Kraków;
Grzegórzki;Sąd;Wojewódzki Sąd Administracyjny;Rakowicka 10, 31-511 Kraków;informacja@krakow.wsa.gov.pl
Grzegórzki;Sklep spożywczy;Delikatesy Happy;Kazimierza Kordylewskiego 5A, 31-542 Kraków;
Krowodrza;Agencja rządowa;Krajowy Ośrodek Wsparcia Rolnictwa. Oddział Terenowy w Krakowie;Zbożowa 4, 30-002 Kraków;piotr.zientarski@gov.pl
Krowodrza;Urząd dzielnicy miasta;Biuro Rady i Zarządu Dzielnicy V Krowodrza;plac Inwalidów 6, 33-332 Kraków;rada@dzielnica5.krakow.pl
