name;email;address
Centrum Serenada;infopunkt@centrumserenada.pl;Aleja Generała Tadeusza Bora-Komorowskiego 41, 31-876 Kraków
Galeria Kazimierz;marketing@galeriakazimierz.pl;Podgórska 34, 31-536 Kraków
M1 Kraków;leasing@metro-properties.pl;Aleja Pokoju 67, 31-580 Kraków
Centrum Handlowe Bonarka;info@bonarka.com.pl;Henryka Kamieńskiego 11, 30-644 Kraków
Galeria Bronowice;newsletter@galeriabronowice.pl;Stawowa 61, 31-346 Kraków
Centrum Handlowe Krokus;biuro@chkrokus.pl;Aleja Generała Tadeusza Bora-Komorowskiego 37, 31-876 Kraków
Park Handlowy Zakopianka;zakopianka@epp-poland.com;Zakopiańska 62, 30-418 Kraków
Centrum Handlowe Nowe Czyżyny;czyzyny@apsysgroup.pl;Mieczysława Medweckiego 2, 31-870 Kraków
Factory Kraków;krakow.outlet@asics.com;Profesora Adama Rożańskiego 32, 32-085 Modlniczka
Pasaż Kapelanka;kapelanka@echo.com.pl;Kapelanka 54, 30-347 Kraków
Centrum Handlowe Mozaika;ogrod_starybiezanow@outlook.com;Wielicka 259, 30-663 Kraków
Centrum handlowe Futura Park;neinver@neinver.com;ul. Prof, Profesora Adama Rożańskiego 32, 32-085 Modlniczka
Swoszowice centrum;info@swoszowicecentrum.pl;Myślenicka 133, 30-698 Kraków
Centrum handlowe Lubostroń;biuro@lubostron15.pl;Lubostroń 15, 30-383 Kraków
Pasaż 33 Kraków Ruczaj;info@pasaz33.pl;Michała Bobrzyńskiego 33, 30-348 Kraków
Vendo Park Kraków;international@treirealestate.com;Zygmunta Glogera 24, 31-222 Kraków
Galeria Tetmajera 83;tetmajera83@tetmajera83.pl;Włodzimierza Tetmajera 83, 31-352 Kraków
Pasaż 33;info@pasaz33.pl;Michała Bobrzyńskiego 33, 30-348 Kraków
S-Mall Park Skawina;inspektor@me.pl;Adama Mickiewicza 19e, 32-050 Skawina
