borough;category;name;address;email
Stare Miasto;Siłownia;XXS GYM 29 Listopada 39F;al. 29 Listopada 39F, 31-425 Kraków;29listopada39f@xxsgym.pl
Stare Miasto;Dom towarowy;"Dom Handlowy ""Jubilat""";Aleja Zygmunta Krasińskiego 1, 31-111 Kraków;info@jubilat.com.pl
Stare Miasto;Urząd;Izba Administracji Skarbowej w Krakowie;Aleja Zygmunta Krasińskiego 11B, 31-111 Kraków;iod.krakow@mf.gov.pl
Stare Miasto;muzea;Pracownia i Muzeum Witrażu;Aleja Zygmunta Krasińskiego 23, 31-111 Kraków;info@muzeumwitrazu.pl
Stare Miasto;Usługi informacyjne;Urząd Miasta Krakowa Centrum Obsługi Informatycznej;Basztowa 20, 31-156 Kraków;webmast@cyf-kr.edu.pl
Stare Miasto;Urząd;Małopolski Urząd Wojewódzki w Krakowie;Basztowa 22, 31-156 Kraków;sc@malopolska.uw.gov.pl
Stare Miasto;Urząd administracji lokalnej;Kancelaria Zarządu - Urząd Marszałkowski Województwa Małopolskiego;Basztowa 22, 31-156 Kraków;sekretariat.is@umwm.malopolska.pl
Stare Miasto;Urząd;Centrum Doradztwa Rolniczego w Brwinowie Oddział w Krakowie;Beera Meiselsa 1, 31-063 Kraków;sekretariat@cdr.gov.pl
Stare Miasto;muzea;Muzeum Banksy;Berka Joselewicza 21, 31-031 Kraków;contact@optick.fr
Stare Miasto;Miejski wydział turystyki;Krakow Convention Bureau;Bracka 10, 31-005 Kraków;convention@um.krakow.pl
Stare Miasto;Studio pilatesu;Fitness Młyn;Dolnych Młynów 5, 31-124 Kraków;info@fitnessmlyn.pl
Stare Miasto;muzea;Muzeum Iluzji Kraków;Floriana Straszewskiego 15, 31-101 Kraków;info@krakil.pl
Stare Miasto;muzea;Muzeum Farmacji Collegium Medicum Uniwersytetu Jagiellońskiego;Floriańska 25, 31-019 Kraków;mf1@mp.pl
Stare Miasto;Gift shop;Flying Tiger Copenhagen;Floriańska 28, 31-021 Kraków;info@flyingtiger.com
Stare Miasto;muzea;Polonia Wax Museum Figury Woskowe;Floriańska 32, 31-150 Kraków;krakow@poloniawaxmuseum.com
Stare Miasto;Galeria sztuki;Oprawa obrazów Art Gallery 36;Floriańska 36, 31-021 Kraków;info@ahg36.com
Stare Miasto;Galeria sztuki;Dom Aukcyjny AHG 36;Floriańska 36, 31-021 Kraków;info@ahg36.com
Stare Miasto;muzea;Dom Jana Matejki | Muzeum Narodowe;Floriańska 41, 31-019 Kraków;dyrekcja@mnk.pl
Stare Miasto;Urząd skarbowy;Urząd Skarbowy Kraków-Stare Miasto;Grodzka 65, 31-001 Kraków;iod.krakow@mf.gov.pl
Stare Miasto;muzea;Żywe Muzeum Obwarzanka;Ignacego Paderewskiego 4, 31-157 Kraków;biuro@muzeumobwarzanka.com
Stare Miasto;muzea;Muzeum Starego Teatru w Krakowie;Jagiellońska 1, 31-011 Kraków;info@micet.pl
Stare Miasto;muzea;Muzeum Uniwersytetu Jagiellońskiego Collegium Maius;Jagiellońska 15, 31-010 Kraków;iod@uj.edu.pl
Stare Miasto;Galeria sztuki;Lookarna Illustrations;Józefa 11, 31-056 Kraków;lookarna@gmail.com
Stare Miasto;muzea;Muzeum Narodowe Pałac Biskupa Erazma Ciołka;Kanonicza 17, 31-002 Kraków;dyrekcja@mnk.pl
Stare Miasto;muzea;Muzeum Archidiecezjalne w Krakowie;Kanonicza 19, 31-002 Kraków;wystawy@archimuzeum.pl
Stare Miasto;atrakcje;Be Happy Museum Kraków;Karmelicka 3, 31-133 Kraków;szczecin@behappymuseum.com
Stare Miasto;Szkoła tańca;Monster pole dance studio;Koletek 4, 31-069 Kraków;
Stare Miasto;muzea;Wawel Zaginiony;Kraków;kancelaria@wawelzamek.pl
Stare Miasto;muzea;Muzeum Narodowe w Krakowie | Dom Józefa Mehoffera;Krupnicza 26, 31-123 Kraków;dyrekcja@mnk.pl
Stare Miasto;muzea;Muzeum Emeryka Hutten-Czapskiego;Marszałka Józefa Piłsudskiego 12, 31-109 Kraków;dyrekcja@mnk.pl
Stare Miasto;Centrum gimnastyczne;Klub Sportowy Towarzystwo Gimnastyczne Sokół;Marszałka Józefa Piłsudskiego 27, 31-111 Kraków;apieczko@sokol.pl
Stare Miasto;Galeria sztuki;Galeria LueLue;Miodowa 22, 31-055 Kraków;galeria@luelue.pl
Stare Miasto;atrakcje;WOMAI Kraków Centrum Nauki i Zmysłów;Pawia 34, 31-154 Kraków;rezerwacja@womai.pl
Stare Miasto;muzea;Muzeum Książąt Czartoryskich;Pijarska 15, 31-015 Kraków;dyrekcja@mnk.pl
