borough;name;address;email;email_2;email_3
Podgórze;Szkoła Mistrzostwa Sportowego Kraków | Społeczne Liceum Ogólnokształcące;Wielicka 101, 30-663 Kraków;sekretariat@sms.krakow.pl;ksiegowosc@sms.krakow.pl;mks@sms.krakow.pl
Podgórze;BiegunSport;Grochowa 26c, 30-731 Kraków;biuro@biegunsport.pl;;
Podgórze;Sport Team - sklep sportowy;Albatrosów 10, 30-716 Kraków;bok@stsklep.pl;;
Podgórze;Market sklep spożywczy netto ewa;Półłanki 104, 30-740 Kraków;;;
Podgórze;Sklep spożywczy;Stróża Rybna 16B, 30-714 Kraków;;;
Podgórze;The Beast Gym - Studio Treningu Personalnego;Rydlówka 32, 30-363 Kraków;contact@thebeastgym.com;porady@dlakonsumentow.pl;adresstrongforlife.pl@gmail.com
Podgórze;My Fitness Place;Buma Square Business Park, Wadowicka 6, 30-415 Kraków;iod@benefitsystems.pl;pakietdlafirm@fitness.benefitsystems.pl;daneosobowe@fitness.benefitsystems.pl
Podgórze;GYMODE Kraków - Trening i Fizjoterapia;Zabłocie 43b, 30-701 Kraków;;;
Podgórze;Izba Administracji Skarbowej w Krakowie;Wadowicka 10, 30-415 Kraków;iod.krakow@mf.gov.pl;renata.drapala@mf.gov.pl;monika.jakutin@mf.gov.pl
Podgórze;Muzeum Sztuki Współczesnej w Krakowie MOCAK | MOCAK Museum of Contemporary Art in Krakow;Lipowa 4, 30-702 Kraków;office@mocak.pl;recepcja@mocak.pl;edukacja@mocak.pl
Podgórze;Muzeum Podgórza. Oddział Muzeum Krakowa;Powstańców Wielkopolskich 1, 30-553 Kraków;info@muzeumkrakowa.pl;sekretariat@muzeumkrakowa.pl;krzysztofory@muzeumkrakowa.pl
Podgórze;Fabryka 'Emalia' Oskara Schindlera;Lipowa 4, 30-702 Kraków;info@muzeumkrakowa.pl;sekretariat@muzeumkrakowa.pl;krzysztofory@muzeumkrakowa.pl
Podgórze;Teren byłego niemieckiego, nazistowskiego obozu koncentracyjnego Plaszow (Płaszów);Abrahama, 30-555 Kraków;info@plaszow.org;sekretariat@plaszow.org;edukacja@plaszow.org
Podgórze;Fame Sport Club;Jana Dekerta 21, 30-703 Kraków;konrad.wojtasik@grzegorzecki.pl;;
