type,name,address,email
Навчальний заклад,Uniwersytet Jagielloński,"ul. Gołębia 24, 31-007 Kraków",info@uj.edu.pl
Навчальний заклад,Akademia Górniczo-Hutnicza,"al. Mickiewicza 30, 30-059 Kraków",rektor@agh.edu.pl
Навчальний заклад,Politechnika Krakowska,"ul. Warszawska 24, 31-155 Kraków",info@pk.edu.pl
Лікарня,Szpital Uniwersytecki w Krakowie,"ul. Mikołaja Kopernika 36, 31-501 Kraków",sekretariat@su.krakow.pl
Лікарня,Szpital Specjalistyczny im. Ludwika Rydygiera,"os. Złotej Jesieni 1, 31-826 Kraków",sekretariat@rydygierkrakow.pl
Поліклініка,Przychodnia Medycyny Rodzinnej,"ul. Komorowskiego 12, 30-106 Kraków",rejestracja@przychodnia.krakow.pl
Поліклініка,Przychodnia Zdrowia,"ul. Krowoderska 17, 31-141 Kraków",kontakt@przychodniazdrowia.pl
Клініка,Centrum Medyczne Luxmed,"ul. Lubicz 23, 31-503 Kraków",krakow@luxmed.pl
Клініка,Medicover,"ul. Podgórska 36, 31-536 Kraków",krakow@medicover.pl
Торговий центр,Galeria Krakowska,"ul. Pawia 5, 31-154 Kraków",info@galeriakrakowska.pl
Торговий центр,Bonarka City Center,"ul. Kamieńskiego 11, 30-644 Kraków",kontakt@bonarkacitycenter.pl
Торговий центр,Galeria Kazimierz,"ul. Podgórska 34, 31-536 Kraków",info@galeriakazimierz.pl
Вокзал,Dworzec Autobusowy MDA,"ul. Bosacka 18, 31-505 Kraków",sekretariat@mda.malopolska.pl
Ужонд,Urząd Miasta Krakowa,"pl. Wszystkich Świętych 3-4, 31-004 Kraków",info@um.krakow.pl
Ужонд,Małopolski Urząd Wojewódzki,"ul. Basztowa 22, 31-156 Kraków",kancelaria@malopolska.uw.gov.pl
Офісна будівля,High5ive,"ul. Pawia 9, 31-154 Kraków",leasing@skanska.pl
Офісна будівля,Unity Centre,"ul. Lubomirskiego 5, 31-506 Kraków",info@unitycentre.pl
Геймінг клуб,Cybermachina,"ul. Stolarska 11, 31-043 Kraków",krakow@cybermachina.pl
Геймінг клуб,Game Over Pub,"ul. Basztowa 18, 31-143 Kraków",gameoverpubkrakow@gmail.com
Інтерактивний заклад для молоді,GOjump Park Trampolin,"ul. Rzemieślnicza 20G, 30-403 Kraków",krakow@gojump.pl
Інтерактивний заклад для молоді,Laser Park,"ul. Dobrego Pasterza 128, 31-416 Kraków",kontakt@laserpark.pl
Спортивний комплекс,Tauron Arena Kraków,"ul. Stanisława Lema 7, 31-571 Kraków",info@tauronarenakrakow.pl
Спортивний комплекс,Com-Com Zone,"ul. Ptaszyckiego 6, 31-979 Kraków",biuro@comcomzone.pl
Школа танців,Egurrola Dance Studio,"ul. Kamieńskiego 11, 30-644 Kraków",krakow@egurrola.pl
Школа танців,Loft to Dance,"ul. Kamienna 2-4, 31-403 Kraków",info@loftodance.pl
Школа бойових мистецтв,Krakowska Szkoła Wushu,"ul. Grzegórzecka 10, 31-530 Kraków",info@wushu.krakow.pl
Школа бойових мистецтв,Centrum Aikido Aikikai,"ul. Krowoderska 8, 31-142 Kraków",aikido@aikido.krakow.pl
Басейн,Basen AGH,"al. Mickiewicza 30, 30-059 Kraków",basen@agh.edu.pl
Басейн,Basen Korona,"ul. Kalwaryjska 9-15, 30-504 Kraków",biuro@basen-korona.pl
Аквапарк,Park Wodny Kraków,"ul. Dobrego Pasterza 126, 31-416 Kraków",biuro@parkwodny.pl
СТО,Auto Serwis Kraków,"ul. Zakopiańska 58, 30-418 Kraków",serwis@autoservicekrakow.pl
СТО,Bosch Car Service,"ul. Mogilska 97, 31-571 Kraków",info@boschcarservice.pl
Автошкола,Szkoła Jazdy Kursant,"ul. Długa 29, 31-147 Kraków",biuro@kursant.krakow.pl
Автошкола,Ośrodek Szkolenia Kierowców Luz,"ul. Karmelicka 39, 31-128 Kraków",biuro@luz.krakow.pl
Навчальний заклад,Uniwersytet Ekonomiczny w Krakowie,"ul. Rakowicka 27, 31-510 Kraków",rektorat@uek.krakow.pl
Навчальний заклад,Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej,"ul. Podchorążych 2, 30-084 Kraków",rektorat@up.krakow.pl
Лікарня,Szpital Specjalistyczny im. Jana Pawła II,"ul. Prądnicka 80, 31-202 Kraków",sekretariat@szpitaljp2.krakow.pl
Лікарня,Szpital Specjalistyczny im. Stefana Żeromskiego,"os. Na Skarpie 66, 31-913 Kraków",sekretariat@zeromski-szpital.pl
Поліклініка,Przychodnia Zdrowia Medica,"ul. Wielicka 44, 30-552 Kraków",rejestracja@medica.krakow.pl
Поліклініка,Przychodnia Salus,"ul. Pilotów 2, 31-462 Kraków",kontakt@salus.krakow.pl
Клініка,Scanmed,"ul. Armii Krajowej 5, 30-150 Kraków",info@scanmed.pl
Клініка,Enel-Med,"ul. Pilotów 2E, 31-462 Kraków",krakow@enel.pl
Торговий центр,M1 Kraków,"al. Pokoju 67, 31-580 Kraków",info@m1-krakow.pl
Торговий центр,Serenada,"al. Gen. T. Bora-Komorowskiego 41, 31-876 Kraków",kontakt@serenada.com.pl
Ужонд,Urząd Marszałkowski Województwa Małopolskiego,"ul. Basztowa 22, 31-156 Kraków",info@umwm.pl
Офісна будівля,Quattro Business Park,"al. Gen. T. Bora-Komorowskiego 25, 31-876 Kraków",leasing@quattropark.pl
Офісна будівля,Enterprise Park,"ul. Powstańców Wielkopolskich 13, 30-707 Kraków",info@enterprisepark.pl
Геймінг клуб,Hex Esports Arena,"ul. Czarnowiejska 8, 31-126 Kraków",kontakt@hexarena.pl
Геймінг клуб,Game Zone,"ul. Floriańska 15, 31-019 Kraków",info@gamezone.pl
Інтерактивний заклад для молоді,Escape Room Kraków,"ul. Miodowa 9, 31-055 Kraków",kontakt@escaperoom.pl
Інтерактивний заклад для молоді,Lost Souls Alley,"ul. Floriańska 6, 31-021 Kraków",info@lostsoulsalley.com
