borough;name;address;email;email_2;email_3
Dębniki;Office Krakow;Kapelanka 12, 30-347 Kraków;hello@office-krakow.pl;info@office-krakow.pl;wiktoria.glod@office-krakow.pl
Dębniki;Shopping;Kapelanka 54, 30-382 Kraków;;;
Dębniki;Pasaż Ruczaj;Raciborska 17, 30-384 Kraków;pasazruczaj@inter-bud.pl;;
Dębniki;Centrum Sportowe Cascada;Szuwarowa 1, 30-384 Kraków;info@cascada.com.pl;odo@inter-bud.pl;
Dębniki;Enjoy Pilates Studio;Biała Droga 13, 30-327 Kraków;;;
Dębniki;KRK Skate School;Marii Konopnickiej 28, 30-307 Kraków;;;
Dębniki;Szkoła Wspinania Jura Climbing School;Praska 58/16, 30-322 Kraków;kontakt@juraclimbing.pl;kontakt@psadventures.pl;
Dębniki;"Sklep Spożywczy ""GRZEGORZ STAŃCZYK""";Zachodnia 1a/11, 30-382 Kraków;;;
Dębniki;My Fitness Place;Karola Bunscha 19, 30-392 Kraków;iod@benefitsystems.pl;pakietdlafirm@fitness.benefitsystems.pl;daneosobowe@fitness.benefitsystems.pl
Dębniki;My Fitness Place;Czerwone Maki 83, 30-392 Kraków;iod@benefitsystems.pl;pakietdlafirm@fitness.benefitsystems.pl;daneosobowe@fitness.benefitsystems.pl
Dębniki;Siłownia na świeżym powietrzu;Michała Bobrzyńskiego, 30-387 Kraków;;;
Dębniki;Gym Break;Pszczelna 51, 30-385 Kraków;;;
Dębniki;Siłownia na świeżym powietrzu;Aleja Wawelska, 30-376 Kraków;;;
Dębniki;Outdoor fitness Adam Czajka;30-382 Kraków;;;
Dębniki;Siłownia na świeżym powietrzu;Zachodnia, 30-382 Kraków;;;
Dębniki;Fitness Platinium Zachodnia KKF;Zachodnia 27, 30-350 Kraków;iod@fitnessplatinium.pl;bok@fitnessplatinium.pl;pomoc@fitnessplatinium.pl
Dębniki;Siłownia zewnętrzna;Macieja Moraczewskiego 9, 30-376 Kraków;;;
Dębniki;Centrum Treningu Kettlebell i Giriewoj Sport Kraków;Skwerowa 3, 30-317 Kraków;e.ciembroniewicz@gmail.com;kettlebellzapisy@gmail.com;
Dębniki;"Siłownia zewnętrzna ""Fungeos""";Spacerowa 7B, 30-391 Kraków;biuro@parkatlas.pl;produkcja@parkatlas.pl;kacper.krasuski@itpersonal.pl
Dębniki;Muzeum Sztuki i Techniki Japońskiej Manggha;Marii Konopnickiej 26, 30-302 Kraków;muzeum@manggha.pl;;
Dębniki;Klub Sportowy PODWAWELSKI;Komandosów 21, 30-334 Kraków;mistrzostwapolski@rocknroll.pl;kontakt@fusionmarketing.pl;kontakt@fusionsystem.pl
Dębniki;Fit4ever fitness klub;Zawiła 61A, 30-390 Kraków;fit4ever@interia.pl;;
Dębniki;Move Center - Trener personalny Kraków Ruczaj;Zawiła 61A, 30-390 Kraków;info@movecenter.pl;;
Dębniki;Cracovia Clinic;Sandomierska 3, 30-301 Kraków;info@cracoviaclinic.com;;
Łagiewniki-Borek Fałęcki;Top market;Orzechowa 5, 30-429 Kraków;;;
Łagiewniki-Borek Fałęcki;My Fitness Place;Zakopiańska 62, 30-418 Kraków;iod@benefitsystems.pl;pakietdlafirm@fitness.benefitsystems.pl;daneosobowe@fitness.benefitsystems.pl
Łagiewniki-Borek Fałęcki;CrossFit 72D;Zakopiańska 72D, 30-418 Kraków;info@72d.pl;ania@72d.pl;
Łagiewniki-Borek Fałęcki;Park Handlowy Zakopianka;Zakopiańska 62, 30-418 Kraków;zakopianka@epp-poland.com;jakub.ociepka@epp-poland.com;
Łagiewniki-Borek Fałęcki;Solvay Park;Zakopiańska 105, 30-418 Kraków;biuro@wpinvest.pl;komercjalizacja@gnrr.pl;
Łagiewniki-Borek Fałęcki;HSM Clinic Podgórze;Zakopiańska 16, 30-418 Kraków;iod@znanylekarz.pl;cc@znanylekarz.pl;kontakt@znanylekarz.pl
Podgórze;Urząd Miasta Krakowa - Wydział Mieszkalnictwa;Rynek Podgórski 1, 30-533 Kraków;webmast@cyf-kr.edu.pl;iod@um.krakow.pl;bip@cyfronet.krakow.pl
Podgórze;Wydział ds. Jakości Powietrza, Urząd Miasta Krakowa;Rynek Podgórski 2, 30-533 Kraków;webmast@cyf-kr.edu.pl;iod@um.krakow.pl;bip@cyfronet.krakow.pl
Podgórze;Urząd Miasta Krakowa - Wydział ds. Przedsiębiorczości i Innowacji;Zabłocie 22, 30-701 Kraków;pi.umk@um.krakow.pl;;
Podgórze;Urząd Miasta Krakowa;Wielicka 28a, 30-552 Kraków;webmast@cyf-kr.edu.pl;iod@um.krakow.pl;bip@cyfronet.krakow.pl
Podgórze;Urząd Skarbowy Kraków-Podgórze;Wadowicka 10, 30-415 Kraków;iod.krakow@mf.gov.pl;renata.drapala@mf.gov.pl;monika.jakutin@mf.gov.pl
Podgórze;Pierwszy Urząd Skarbowy Kraków;Rzemieślnicza 20, 30-363 Kraków;iod.krakow@mf.gov.pl;renata.drapala@mf.gov.pl;monika.jakutin@mf.gov.pl
Podgórze;Wydział Geodezji, Kartografii i Katastru Starostwa Powiatowego w Krakowie;Przy Moście 1, 30-962 Kraków;wydz_geodezji@powiat.krakow.pl;zarzad@powiat.krakow.pl;mciezak@powiat.krakow.pl
Podgórze;HI FIVE GYM - gimnastyka dla dzieci, półkolonie;Płk. Stanisława Dąbka 10, 30-732 Kraków;kontakt@hifivegym.pl;;
Podgórze;Stretching/ Pilates/ Mfr;Tadeusza Romanowicza 19B/2 floor, 30-702 Kraków;support@calendly.com;capri@calendly.com;vanessa@calendly.com
Podgórze;InterClub - Młodzieżowy Klub Sportowy;Kalwaryjska 9, 30-504 Kraków;;;
Podgórze;OMTC - Oracz Mroczek Training Center;Przemysłowa 12, 30-701 Kraków;kontakt@omtc.pl;pawel@omtc.pl;
Podgórze;Klub Sportowy Gym Team - gimnastyka i akrobatyka;Kalwaryjska 9, 30-509 Kraków;ksgymteam@gmail.com;gym.krakow@gmail.com;
Podgórze;XXS GYM Zabłocie 24;Zabłocie 24, 30-701 Kraków;info@xxsgym.pl;;
Podgórze;Gymnastic Kraków Mateczny;Ignacego Krasickiego 34, 30-513 Kraków;modlniczka@gymnastic.com.pl;mateczny@gymnastic.com.pl;kontakt@gymnastic.com.pl
Podgórze;BBB SERCA KRAKOWA & FELIX BOXING GYM;Plac Niepodległości 1, 30-332 Kraków;felix-boxing@wp.pl;;
Podgórze;ilovejoga - Joga wg B.K.S. Iyengara w Krakowie;Pułkownika Ryszarda Kuklińskiego 17, 30-720 Kraków;szkolajogi@ilovejoga.pl;;
Podgórze;Szkoła Mistrzostwa Sportowego Kraków | Społeczne Liceum Ogólnokształcące;Wielicka 101, 30-663 Kraków;sekretariat@sms.krakow.pl;ksiegowosc@sms.krakow.pl;mks@sms.krakow.pl
Podgórze;BiegunSport;Grochowa 26c, 30-731 Kraków;biuro@biegunsport.pl;;
Podgórze;Sport Team - sklep sportowy;Albatrosów 10, 30-716 Kraków;bok@stsklep.pl;;
Podgórze;Market sklep spożywczy netto ewa;Półłanki 104, 30-740 Kraków;;;
Podgórze;Sklep spożywczy;Stróża Rybna 16B, 30-714 Kraków;;;
Podgórze;The Beast Gym - Studio Treningu Personalnego;Rydlówka 32, 30-363 Kraków;contact@thebeastgym.com;porady@dlakonsumentow.pl;adresstrongforlife.pl@gmail.com
Podgórze;My Fitness Place;Buma Square Business Park, Wadowicka 6, 30-415 Kraków;iod@benefitsystems.pl;pakietdlafirm@fitness.benefitsystems.pl;daneosobowe@fitness.benefitsystems.pl
Podgórze;GYMODE Kraków - Trening i Fizjoterapia;Zabłocie 43b, 30-701 Kraków;;;
Podgórze;Izba Administracji Skarbowej w Krakowie;Wadowicka 10, 30-415 Kraków;iod.krakow@mf.gov.pl;renata.drapala@mf.gov.pl;monika.jakutin@mf.gov.pl
Podgórze;Muzeum Sztuki Współczesnej w Krakowie MOCAK | MOCAK Museum of Contemporary Art in Krakow;Lipowa 4, 30-702 Kraków;office@mocak.pl;recepcja@mocak.pl;edukacja@mocak.pl
Podgórze;Muzeum Podgórza. Oddział Muzeum Krakowa;Powstańców Wielkopolskich 1, 30-553 Kraków;info@muzeumkrakowa.pl;sekretariat@muzeumkrakowa.pl;krzysztofory@muzeumkrakowa.pl
Podgórze;Fabryka 'Emalia' Oskara Schindlera;Lipowa 4, 30-702 Kraków;info@muzeumkrakowa.pl;sekretariat@muzeumkrakowa.pl;krzysztofory@muzeumkrakowa.pl
Podgórze;Teren byłego niemieckiego, nazistowskiego obozu koncentracyjnego Plaszow (Płaszów);Abrahama, 30-555 Kraków;info@plaszow.org;sekretariat@plaszow.org;edukacja@plaszow.org
Podgórze;Fame Sport Club;Jana Dekerta 21, 30-703 Kraków;konrad.wojtasik@grzegorzecki.pl;;
Podgórze;The Beast Gym 3.0 - Studio Treningu Personalnego;Przemysłowa 13, 30-701 Kraków;contact@thebeastgym.com;porady@dlakonsumentow.pl;adresstrongforlife.pl@gmail.com
Podgórze;Good Moves Studio;Czyżówka 14/Lokal 1.08, 30-526 Kraków;office@goodmoves.pl;;
Podgórze;Saturn Fitness;Przemysłowa 4, 30-701 Kraków;klub.krakow@saturn-fitness.pl;;
Podgórze;Fit Happens - studio treningu personalnego;Kalwaryjska 59, 30-504 Kraków;fithapstudio@gmail.com;;
Podgórze;7a.m.Gym;Kącik 10/LU 3, 30-549 Kraków;;;
Podgórze;Departament Funduszy Europejskich - Urząd Marszałkowski Województwa Małopolskiego;Wielicka 72, 30-552 Kraków;sekretariat.is@umwm.malopolska.pl;iodo@umwm.malopolska.pl;lubiemalopolske@umwm.pl
Podgórze;Główny Punkt Informacyjny Funduszy Europejskich w Krakowie;Wielicka 72b, 30-552 Kraków;fem@umwm.malopolska.pl;;
Podgórze;Krakowskie Centrum Handlowo-Targowe;Krzywda 1, 30-710 Kraków;biuro@cht.net.pl;info@soloventex.pl;
Podgórze;Centrum Medyczne Imicare;Zabłocie 25/lokal 4, 30-701 Kraków;kontakt@imicare.pl;student@imicare.pl;
Podgórze;Dawny Areszt Śledczy Kraków Podgórze - Zlikwidowany;Stefana Czarnieckiego 3, 30-536 Kraków;redakcja@wyborcza.pl;pomoc@wyborcza.pl;jaroslaw.kurski@agora.pl
Podgórze;Punkt Informacyjny dla Obcokrajowców w Krakowie;Zabłocie 20/A, 31-532 Kraków;otwarty@um.krakow.pl;;
Podgórze;Lidl;Węglarska 4, 30-725 Kraków;magda.szubarczyk@lidl.pl;anna.wieczorek@lidl.pl;aleksandra.szywilewska@lidl.pl
